ID,user_id,amount,timestamp,payment_method,is_fraud,first_name,last_name,email,account_created,national_id,internal_notes,location.city,location.country
TXN00000,CUST0017,7656.21,16/09/2024 12:00:00,cash,0.00,themba,ndlovu,t****@example.co.za,02/04/2024 16:00:00,159XXXXXXXXXXXXXXXXX,,Polokwane,South Africa
TXN00001,CUST0024,5249.60,14/06/2023 18:00:00,mobile_payment,1.00,bongani,ngcobo,b****@example.co.za,15/09/2020 01:00:00,124XXXXXXXXXXXXXXXXX,note_XX,Pietermaritzburg,South Africa
TXN00002,CUST0029,4455.07,11/04/2023 10:00:00,mobile_payment,0.00,palesa,mthembu,p****@example.co.za,17/08/2020 03:45:00,947XXXXXXXXXXXXXXXXX,note_XX,Johannesburg,South Africa
TXN00003,CUST0009,5707.86,23/03/2025 11:00:00,card,0.00,naledi,nkosi,n****@example.co.za,24/07/2022 03:00:00,108XXXXXXXXXXXXXXXXX,note_X,Kimberley,South Africa
TXN00004,CUST0019,9603.08,16/05/2024 08:00:00,card,0.00,jabu,gumede,j****@example.co.za,07/08/2020 02:00:00,367XXXXXXXXXXXXXXXXX,note_XX,Pietermaritzburg,South Africa
TXN00005,cust0003,7639.23,19/03/2024 15:00:00,cash,0.00,themba,mahlangu,t****@example.co.za,15/11/2021 13:00:00,030XXXXXXXXXXXXXXXXX,note_X,Bloemfontein,South Africa
TXN00005,cust0003,7639.23,19/03/2024 15:00:00,cash,0.00,themba,mahlangu,t****@example.co.za,15/11/2021 13:00:00,030XXXXXXXXXXXXXXXXX,note_X,Bloemfontein,South Africa
TXN00006,CUST0008,6621.26,26/05/2023 02:00:00,cash,0.00,nokuthula,motsepe,n****@example.co.za,25/10/2024 09:00:00,763XXXXXXXXXXXXXXXXX,note_X,Pretoria,South Africa
TXN00007,CUST0007,1779.44,26/12/2023 12:00:00,card,0.00,lebohang,gumede,l****@example.co.za,,315XXXXXXXXXXXXXXXXX,,Pretoria,South Africa
TXN00008,CUST0005,76.62,30/07/2024 23:00:00,mobile_payment,0.00,mpho,ntuli,m****@example.co.za,09/01/2023 12:00:00,048XXXXXXXXXXXXXXXXX,note_X,Nelspruit,South Africa
TXN00009,CUST0022,5958.42,04/08/2024 22:00:00,bank_transfer,0.00,lindiwe,ntuli,l****@example.co.za,30/10/2024 01:22:00,656XXXXXXXXXXXXXXXXX,note_XX,Johannesburg,South Africa
TXN00010,CUST9999,374.77,06/03/2024 10:00:00,bank_transfer,0.00,,,,,,,,
TXN00011,CUST0022,2863.05,23/03/2024 12:00:00,mobile_payment,1.00,lindiwe,ntuli,l****@example.co.za,30/10/2024 01:22:00,656XXXXXXXXXXXXXXXXX,note_XX,Johannesburg,South Africa
TXN00012,CUST0002,6889.48,18/06/2023 22:00:00,bank_transfer,0.00,bongani,motsepe,b****@example.co.za,29/06/2020 01:00:00,034XXXXXXXXXXXXXXXXX,note_X,Cape Town,South Africa
